id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,result_margin,eliminator,method,umpire1,umpire2,venue
1,2008,Mohali,2008-04-08,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Punjab Kings,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2,2008,Bangalore,2008-04-18,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,3,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
3,2008,Hyderabad,2008-05-15,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
4,2008,Ahmedabad,2008-03-04,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,wickets,0,Delhi Capitals,5,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
5,2008,Mumbai,2008-04-12,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,wickets,0,Chennai Super Kings,4,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
6,2008,Mohali,2008-04-22,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,0,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
7,2008,Bangalore,2008-05-05,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,runs,0,Lucknow Super Giants,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
8,2008,Hyderabad,2008-04-27,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Sunrisers Hyderabad,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
9,2008,Ahmedabad,2008-05-25,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,runs,0,Gujarat Titans,12,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
10,2008,Mumbai,2008-05-05,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,wickets,0,Mumbai Indians,5,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
11,2008,Mohali,2008-03-17,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,wickets,0,Kolkata Knight Riders,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
